ExecTime,PlaceTime,placeID,PlaceQty,BrokerKey,SecType,SecKey,limit,price,EstPrice,Algo,TranCode,ExchangeID,IndGrpID,SectorID,Currency,MFTotalCost
3582466,10:48,907565,300000,10000190,cmus,151349,mkt,99.765625,100.2028,                                                                                                                                                                                                                                                                ,1,0,0,0,us,45184.092
3578790,10:48,907566,535000,10000190,fhus,157315,mkt,101.125,101.95449,                                                                                                                                                                                                                                                                ,1,0,1355,1408,us,28436.91392
3573163,10:48,907569,175000,10000190,fhus,147229,mkt,99.625,100.58129,                                                                                                                                                                                                                                                                ,1,0,1355,1408,us,16126.4726
3084643,10:48,907571,265000,10000164,fmus,155505,mkt,100.875,101.93933,                                                                                                                                                                                                                                                                ,1,0,1355,1408,us,13914.78566
3567793,10:48,907572,45000,10000190,fmus,153514,mkt,100.125,102.17958,                                                                                                                                                                                                                                                                ,1,0,1355,1408,us,6530.138382
13160,10:52,907574,10000,10000401,mbus,167219,mkt,109.55,110.64,                                                                                                                                                                                                                                                                ,1,0,1313,1366,us,10955
149310,11:41,907602,4650000,10000195,mbus,170231,mkt,120.219,120.22,                                                                                                                                                                                                                                                                ,0,0,1313,1366,us,5590183.5
6298630,11:59,907646,3000000,10000203,mbus,161746,mkt,119.57,119.142,                                                                                                                                                                                                                                                                ,1,0,1320,1373,us,3587100
6467776,11:59,907647,1850000,10000167,mbus,169843,mkt,123.558,123.099,                                                                                                                                                                                                                                                                ,1,0,1313,1366,us,2285823
6476880,11:59,907648,500000,10000167,mbus,159791,mkt,100.504,100.631,                                                                                                                                                                                                                                                                ,1,0,1319,1372,us,502520
6622023,11:59,907649,690000,10000185,mbus,156189,mkt,100.894,101.036,                                                                                                                                                                                                                                                                ,1,0,1313,1366,us,696168.6
6559353,11:59,907650,1000000,10000176,mbus,157333,mkt,103.834,103.928,                                                                                                                                                                                                                                                                ,1,0,1311,1364,us,1038340
216240,12:03,907684,1200,88126,ctus,131575,mkt,79.855,79.86,                                                                                                                                                                                                                                                                ,0,0,0,0,us,95826
7577406,12:08,907692,500000,10000192,mbus,115365,mkt,114.133,113.458,                                                                                                                                                                                                                                                                ,1,0,1323,1376,us,570665
4001906,12:20,907699,5800000,10000200,fmus,170013,mkt,104.484375,104.4766,                                                                                                                                                                                                                                                                ,0,0,1353,1406,us,6060093.75
4001440,12:20,907701,7000000,10000200,fmus,170014,mkt,106.703125,106.6875,                                                                                                                                                                                                                                                                ,0,0,1353,1406,us,7469218.75
4001660,12:20,907702,1400000,10000200,fmus,170237,mkt,105.734375,100,                                                                                                                                                                                                                                                                ,0,0,1353,1406,us,1480281.25
7903,12:21,907717,1000000,10000175,agus,170238,mkt,100,100,                                                                                                                                                                                                                                                                ,0,0,1349,1402,us,1000000
226063,13:13,907795,995000,10000190,mbus,170241,mkt,116.78,116.78,                                                                                                                                                                                                                                                                ,0,0,1311,1364,us,1161961
1580653,13:38,907842,130000,10000189,mbus,170239,mkt,100.397,100.397,                                                                                                                                                                                                                                                                ,0,0,1313,1366,us,130516.1
10646,14:02,907981,10000,10000401,mbus,167287,mkt,108.54,109.72,                                                                                                                                                                                                                                                                ,1,0,1320,1373,us,10854
15486,14:02,907982,5000,10000401,mbus,167289,mkt,108.004,110.411,                                                                                                                                                                                                                                                                ,1,0,1320,1373,us,5400.2
914993,14:05,907986,300000,10000220,cbus,161534,mkt,99.455,98.968,                                                                                                                                                                                                                                                                ,1,0,1331,1384,us,298365
914670,14:05,907988,275000,10000246,cbus,159962,mkt,109.539,109.8153,                                                                                                                                                                                                                                                                ,1,0,1343,1396,us,301232.25
58306,14:32,907998,9985000,10000195,mbus,170244,MKT,115.39,115.39,                                                                                                                                                                                                                                                                ,0,0,1325,1378,us,11521691.5
7710,14:36,908000,450000,10000180,cbus,155645,mkt,99.634,100.0394,                                                                                                                                                                                                                                                                ,1,0,1343,1396,us,448353
313956,14:47,908003,885000,10000210,cbus,153515,mkt,100.274,100.2816,                                                                                                                                                                                                                                                                ,1,0,1340,1393,us,887424.9
51323,14:49,908004,40000,10000200,tnus,146540,mkt,100.109375,100.1074,                                                                                                                                                                                                                                                                ,0,0,1461,1462,us,40043.75
137193,14:49,908005,50000,10000188,tnus,138147,mkt,100.578125,100.5573,                                                                                                                                                                                                                                                                ,0,0,1461,1462,us,50289.0625
114050,14:49,908006,50000,10000188,tnus,160864,mkt,100.578125,100.6302,                                                                                                                                                                                                                                                                ,0,0,1461,1462,us,50289.0625
98896,14:49,908007,30000,10000188,tnus,160001,mkt,99.91015625,99.9401,                                                                                                                                                                                                                                                                ,0,0,1461,1462,us,29973.04688
68753,14:49,908008,25000,10000167,tdus,145751,mkt,132.2304688,132.0339,                                                                                                                                                                                                                                                                ,0,0,1461,1462,us,33057.61719
18616,14:49,908009,30000,10000200,tdus,161184,mkt,92.3359375,92.1927,                                                                                                                                                                                                                                                                ,0,0,1461,1462,us,27700.78125
213520,15:26,908064,415000,10000190,mbus,170246,mkt,103.243,103.243,                                                                                                                                                                                                                                                                ,0,0,1317,1370,us,428458.45
15000,17:13,908075,2000000,10000176,cbus,169351,MKT,100.341,100,                                                                                                                                                                                                                                                                ,0,0,1331,1384,us,2006820
897846,10:25,908267,11000000,10000200,gmus,169352,mkt,105.1875,105.2656,                                                                                                                                                                                                                                                                ,1,0,1353,1406,us,11570625
736150,10:25,908268,11000000,10000200,fmus,170014,mkt,106.71875,106.7,                                                                                                                                                                                                                                                                ,0,0,1353,1406,us,11739062.5
11857203,10:31,908270,7400,88126,ctus,145856,mkt,14.86,14.96,                                                                                                                                                                                                                                                                ,1,0,0,0,us,110283
9013,10:31,908271,2000,88126,ctus,45825,mkt,36.33,36.38,                                                                                                                                                                                                                                                                ,1,0,0,0,us,72660
12441883,10:31,908272,8000,88126,ctus,131436,mkt,10.63,10.6,                                                                                                                                                                                                                                                                ,0,0,0,0,us,85163.44
21473,10:38,908273,700000,10000200,fmus,170251,mkt,106.84375,107,                                                                                                                                                                                                                                                                ,0,0,1353,1406,us,746980.0205
6591043,10:39,908274,16000,88126,ctus,45798,mkt,7.8,7.78,                                                                                                                                                                                                                                                                ,0,2,0,0,us,124786.57
8163816,10:42,908275,1296,105690,ctus,45822,mkt,14.994898,15.02,                                                                                                                                                                                                                                                                ,1,0,0,0,us,19412
23143,11:40,908287,710000,10000173,tnus,146540,mkt,100.109375,100.0918,                                                                                                                                                                                                                                                                ,0,0,1461,1462,us,710776.5625
42983,11:40,908288,500000,10000200,tnus,147191,mkt,100.2851563,100.2643,                                                                                                                                                                                                                                                                ,0,0,1461,1462,us,501425.7813
9280,11:49,908291,60000,10000167,mbus,162974,mkt,117.854,117.635,                                                                                                                                                                                                                                                                ,0,0,1329,1382,us,70712.4
4750206,11:52,908294,2025000,10000326,mbus,156640,mkt,102.903,103.003,                                                                                                                                                                                                                                                                ,1,0,1313,1366,us,2083785.75
4766026,11:52,908295,2000000,10000326,mbus,129249,mkt,103.684,103.793,                                                                                                                                                                                                                                                                ,1,0,1313,1366,us,2073680
4723850,11:52,908296,2405000,10000326,mbus,157308,mkt,101.722,101.826,                                                                                                                                                                                                                                                                ,1,0,1313,1366,us,2446414.1
236483,12:07,908300,7350000,10000195,mbus,170260,mkt,117.483,117.633,                                                                                                                                                                                                                                                                ,0,0,1313,1366,us,8635000.5
1963096,12:28,908301,3600,105690,ctus,45798,mkt,7.8,7.78,                                                                                                                                                                                                                                                                ,0,2,0,0,us,28079.5
12303873,13:36,908345,1565000,10000203,mbus,151536,mkt,123.5,123.832,                                                                                                                                                                                                                                                                ,1,0,1313,1366,us,1932775
10347236,13:36,908346,465000,10000190,mbus,144909,mkt,105.808,106.043,                                                                                                                                                                                                                                                                ,1,0,1311,1364,us,492007.2
9832036,13:36,908347,2145000,10000167,mbus,152907,mkt,124.402,125.11,                                                                                                                                                                                                                                                                ,1,0,1312,1365,us,2668422.9
10682916,13:36,908348,130000,10000185,mbus,165271,mkt,104.507,104.922,                                                                                                                                                                                                                                                                ,1,0,1311,1364,us,135859.1
10415573,13:36,908349,1560000,10000168,mbus,151982,mkt,106.174,106.199,                                                                                                                                                                                                                                                                ,1,0,1313,1366,us,1656314.4
10554433,13:36,908350,550000,10000204,mbus,152556,mkt,121.882,121.559,                                                                                                                                                                                                                                                                ,1,0,1329,1382,us,670351
10943316,13:36,908351,150000,10000189,mbus,138486,mkt,101.429,101.958,                                                                                                                                                                                                                                                                ,1,0,1313,1366,us,152143.5
10452210,13:36,908352,450000,10000240,mbus,150911,mkt,105.967,106.321,                                                                                                                                                                                                                                                                ,1,0,1329,1382,us,476851.5
11534970,13:36,908354,790000,10000399,mbus,162024,mkt,116.572,116.286,                                                                                                                                                                                                                                                                ,1,0,1323,1376,us,920918.8
10486843,13:36,908355,300000,10000240,mbus,148306,mkt,109.679,110.002,                                                                                                                                                                                                                                                                ,1,0,1313,1366,us,329037
10434726,13:36,908356,210000,10000185,mbus,151058,mkt,101.001,101.153,                                                                                                                                                                                                                                                                ,1,0,1317,1370,us,212102.1
11047600,13:36,908357,200000,10000282,mbus,150809,mkt,116.184,116.123,                                                                                                                                                                                                                                                                ,1,0,1328,1381,us,232368
10437460,13:36,908358,250000,10000190,mbus,160693,mkt,119.641,119.985,                                                                                                                                                                                                                                                                ,1,0,1312,1365,us,299102.5
10278116,13:36,908361,595000,10000185,mbus,154486,mkt,102.787,102.993,                                                                                                                                                                                                                                                                ,1,0,1313,1366,us,611582.65
11621986,13:36,908362,100000,10000170,mbus,159693,mkt,119.505,120.361,                                                                                                                                                                                                                                                                ,1,0,1325,1378,us,119505
10551876,13:36,908363,150000,10000185,mbus,159960,mkt,104.046,104.093,                                                                                                                                                                                                                                                                ,1,0,1313,1366,us,156069
11133640,13:36,908365,105000,10000282,mbus,153131,mkt,120.185,119.366,                                                                                                                                                                                                                                                                ,1,0,1328,1381,us,126194.25
12319450,13:36,908366,200000,10000266,mbus,137926,mkt,104.922,105.82,                                                                                                                                                                                                                                                                ,1,0,1311,1364,us,209844
10470046,13:36,908367,375000,10000240,mbus,156110,mkt,104.56,104.832,                                                                                                                                                                                                                                                                ,1,0,1311,1364,us,392100
10031363,13:36,908368,650000,10000331,mbus,141112,mkt,102.534,102.724,                                                                                                                                                                                                                                                                ,1,0,1325,1378,us,666471
